@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "10/04/15"
@ TIME             %08s "10.48.50"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBCV.6L1.B2"                       0                  0                  0                  0
 "MCBCH.7L1.B2"                       0                  0                  0                  0
 "MCBCV.8L1.B2"                       0                  0                  0                  0
 "MCBCH.9L1.B2"                       0                  0                  0                  0
 "MCBCV.10L1.B2"                      0   -1.606645854e-05                  0   -1.606645854e-05
 "MCBH.11L1.B2"                       0                  0                  0                  0
 "MCBV.12L1.B2"                       0                  0                  0                  0
 "MCBH.13L1.B2"                       0                  0                  0                  0
 "MCBV.14L1.B2"                       0    5.516159348e-06                  0    5.516159348e-06
 "MCBH.15L1.B2"                       0                  0                  0                  0
 "MCBV.16L1.B2"                       0                  0                  0                  0
 "MCBH.17L1.B2"                       0                  0                  0                  0
 "MCBV.18L1.B2"                       0    1.187697053e-05                  0    1.187697053e-05
 "MCBH.19L1.B2"                       0                  0                  0                  0
 "MCBV.20L1.B2"                       0    3.019157099e-06                  0    3.019157099e-06
 "MCBH.21L1.B2"                       0                  0                  0                  0
 "MCBV.22L1.B2"                       0    1.271162578e-05                  0    1.271162578e-05
 "MCBH.23L1.B2"                       0                  0                  0                  0
 "MCBV.24L1.B2"                       0                  0                  0                  0
 "MCBH.25L1.B2"                       0                  0                  0                  0
 "MCBV.26L1.B2"                       0    1.252430677e-05                  0    1.252430677e-05
 "MCBH.27L1.B2"                       0                  0                  0                  0
 "MCBV.28L1.B2"                       0                  0                  0                  0
 "MCBH.29L1.B2"                       0                  0                  0                  0
 "MCBV.30L1.B2"                       0                  0                  0                  0
 "MCBH.31L1.B2"                       0                  0                  0                  0
 "MCBV.32L1.B2"                       0                  0                  0                  0
 "MCBH.33L1.B2"                       0                  0                  0                  0
 "MCBV.34L1.B2"                       0                  0                  0                  0
 "MCBH.33R8.B2"                       0                  0                  0                  0
 "MCBV.32R8.B2"                       0                  0                  0                  0
 "MCBH.31R8.B2"                       0                  0                  0                  0
 "MCBV.30R8.B2"                       0                  0                  0                  0
 "MCBH.29R8.B2"                       0                  0                  0                  0
 "MCBV.28R8.B2"                       0    4.669871414e-06                  0    4.669871414e-06
 "MCBH.27R8.B2"                       0                  0                  0                  0
 "MCBV.26R8.B2"                       0                  0                  0                  0
 "MCBH.25R8.B2"                       0                  0                  0                  0
 "MCBV.24R8.B2"                       0   -1.804156229e-05                  0   -1.804156229e-05
 "MCBH.23R8.B2"                       0                  0                  0                  0
 "MCBV.22R8.B2"                       0    4.160617013e-06                  0    4.160617013e-06
 "MCBH.21R8.B2"                       0                  0                  0                  0
 "MCBV.20R8.B2"                       0                  0                  0                  0
 "MCBH.19R8.B2"                       0                  0                  0                  0
 "MCBV.18R8.B2"                       0                  0                  0                  0
 "MCBH.17R8.B2"                       0                  0                  0                  0
 "MCBV.16R8.B2"                       0                  0                  0                  0
 "MCBH.15R8.B2"                       0                  0                  0                  0
 "MCBV.14R8.B2"                       0                  0                  0                  0
 "MCBH.13R8.B2"                       0                  0                  0                  0
 "MCBV.12R8.B2"                       0   -3.789652372e-06                  0   -3.789652372e-06
 "MCBH.11R8.B2"                       0                  0                  0                  0
 "MCBCV.10R8.B2"                      0                  0                  0                  0
 "MCBCH.9R8.B2"                       0                  0                  0                  0
 "MCBCV.8R8.B2"                       0                  0                  0                  0
 "MCBCH.7R8.B2"                       0                  0                  0                  0
 "MCBCV.6R8.B2"                       0                  0                  0                  0
 "MCBYH.B5R8.B2"                      0                  0                  0                  0
 "MCBYV.5R8.B2"                       0                  0                  0                  0
 "MCBYH.A5R8.B2"                      0                  0                  0                  0
 "MCBYV.B4R8.B2"                      0                  0                  0                  0
 "MCBYH.4R8.B2"                       0                  0                  0                  0
 "MCBYV.A4R8.B2"                      0                  0                  0                  0
 "MCBXV.3R8"                          0                  0                  0                  0
 "MCBXH.3R8"                          0                  0                  0                  0
 "MCBXV.2R8"                          0                  0                  0                  0
 "MCBXH.2R8"                          0                  0                  0                  0
 "MCBXV.1R8"                          0                  0                  0                  0
 "MCBXH.1R8"                          0                  0                  0                  0
 "MBXWS.1R8"                          0                  0                  0                  0
 "MBLW.1R8"                           0                  0                  0                  0
 "MBXWH.1L8"                          0                  0                  0                  0
 "MBXWS.1L8"                          0                  0                  0                  0
 "MCBXV.1L8"                          0                  0                  0                  0
 "MCBXH.1L8"                          0                  0                  0                  0
 "MCBXV.2L8"                          0                  0                  0                  0
 "MCBXH.2L8"                          0                  0                  0                  0
 "MCBXV.3L8"                          0                  0                  0                  0
 "MCBXH.3L8"                          0                  0                  0                  0
 "MCBYH.A4L8.B2"                      0                  0                  0                  0
 "MCBYV.4L8.B2"                       0                  0                  0                  0
 "MCBYH.B4L8.B2"                      0                  0                  0                  0
 "MCBCV.A5L8.B2"                      0                  0                  0                  0
 "MCBCH.5L8.B2"                       0                  0                  0                  0
 "MCBCV.B5L8.B2"                      0                  0                  0                  0
 "MCBCH.6L8.B2"                       0                  0                  0                  0
 "MCBCV.7L8.B2"                       0                  0                  0                  0
 "MCBCH.8L8.B2"                       0                  0                  0                  0
 "MCBCV.9L8.B2"                       0    3.920402378e-08                  0    3.920402378e-08
 "MCBCH.10L8.B2"                      0                  0                  0                  0
 "MCBV.11L8.B2"                       0                  0                  0                  0
 "MCBH.12L8.B2"                       0                  0                  0                  0
 "MCBV.13L8.B2"                       0    5.618738476e-06                  0    5.618738476e-06
 "MCBH.14L8.B2"                       0                  0                  0                  0
 "MCBV.15L8.B2"                       0    6.042758934e-06                  0    6.042758934e-06
 "MCBH.16L8.B2"                       0                  0                  0                  0
 "MCBV.17L8.B2"                       0                  0                  0                  0
 "MCBH.18L8.B2"                       0                  0                  0                  0
