@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "10/04/15"
@ TIME             %08s "10.48.50"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBH.22R7.B2"                       0                  0                  0                  0
 "MCBV.21R7.B2"                       0                  0                  0                  0
 "MCBH.20R7.B2"                       0                  0                  0                  0
 "MCBV.19R7.B2"                       0                  0                  0                  0
 "MCBH.18R7.B2"         4.395414144e-06                  0    4.395414144e-06                  0
 "MCBV.17R7.B2"                       0                  0                  0                  0
 "MCBH.16R7.B2"        -1.302993111e-05                  0   -1.302993111e-05                  0
 "MCBV.15R7.B2"                       0                  0                  0                  0
 "MCBH.14R7.B2"        -2.651232062e-06                  0   -2.651232062e-06                  0
 "MCBV.13R7.B2"                       0                  0                  0                  0
 "MCBH.12R7.B2"        -1.980231609e-06                  0   -1.980231609e-06                  0
 "MCBV.11R7.B2"                       0                  0                  0                  0
 "MCBCH.10R7.B2"       -6.063037086e-06                  0   -6.063037086e-06                  0
 "MCBCV.9R7.B2"                       0                  0                  0                  0
 "MCBCH.8R7.B2"                       0                  0                  0                  0
 "MCBCV.7R7.B2"                       0                  0                  0                  0
 "MCBCH.6R7.B2"        -3.313368652e-06                  0   -3.313368652e-06                  0
 "MCBWV.5R7.B2"                       0                  0                  0                  0
 "MCBWH.4R7.B2"                       0                  0                  0                  0
 "MCBWV.4L7.B2"                       0                  0                  0                  0
 "MCBWH.5L7.B2"                       0                  0                  0                  0
 "MCBCV.6L7.B2"                       0                  0                  0                  0
 "MCBCH.7L7.B2"         -1.29718557e-05                  0    -1.29718557e-05                  0
 "MCBCV.8L7.B2"                       0                  0                  0                  0
 "MCBCH.9L7.B2"         2.684676088e-06                  0    2.684676088e-06                  0
 "MCBCV.10L7.B2"                      0                  0                  0                  0
 "MCBH.11L7.B2"        -4.651013762e-06                  0   -4.651013762e-06                  0
 "MCBV.12L7.B2"                       0                  0                  0                  0
 "MCBH.13L7.B2"        -5.896397866e-06                  0   -5.896397866e-06                  0
 "MCBV.14L7.B2"                       0                  0                  0                  0
 "MCBH.15L7.B2"         -1.09913596e-06                  0    -1.09913596e-06                  0
 "MCBV.16L7.B2"                       0                  0                  0                  0
 "MCBH.17L7.B2"         2.091354877e-05                  0    2.091354877e-05                  0
 "MCBV.18L7.B2"                       0                  0                  0                  0
 "MCBH.19L7.B2"         1.215010881e-05                  0    1.215010881e-05                  0
 "MCBV.20L7.B2"                       0                  0                  0                  0
 "MCBH.21L7.B2"         4.687792622e-06                  0    4.687792622e-06                  0
 "MCBV.22L7.B2"                       0                  0                  0                  0
 "MCBH.23L7.B2"        -7.562560029e-06                  0   -7.562560029e-06                  0
 "MCBV.24L7.B2"                       0                  0                  0                  0
 "MCBH.25L7.B2"        -2.777761337e-05                  0   -2.777761337e-05                  0
 "MCBV.26L7.B2"                       0                  0                  0                  0
